stat,value
n,815242.0
label_rate,0.3283638477899814
fwd_mean,4.14933392180798e-05
fwd_std,0.008490656549318396
p_gt_thr,0.3283638477899814
p_gt_2thr,0.20535374772153545
mean_pos,0.007154237997076184
mean_pos_net_fee,0.005154237997076184
