bucket,n,gross,net,wr
<=5m,8062,56.35903006476531,-16.144723220443215,0.34284296700570577
5-15m,3120,28.643706002369715,-2.6392727093922086,0.3557692307692308
15-60m,2709,25.885535905779406,-1.5981366395872032,0.3850129198966408
>60m,1712,-63.703743156318964,-79.5929861369052,0.18341121495327103
