side,n,gross,fee,net,per_trade_gross,per_trade_fee,med_hold_min
freqai,15603,47.18452881659546,147.1596475229233,-99.97511870632782,0.003024067731628242,0.009431496989227925,5.0
baseline,714,5.839247914350008,45.21842832435,-39.37918041,0.008178218367436985,0.06333113210693278,497.5
