bin_lo,bin_hi,count
0.0,0.05,0
0.05,0.1,0
0.1,0.15000000000000002,0
0.15000000000000002,0.2,0
0.2,0.25,4682
0.25,0.30000000000000004,31652
0.30000000000000004,0.35000000000000003,11585
0.35000000000000003,0.4,47203
0.4,0.45,296282
0.45,0.5,222742
0.5,0.55,135804
0.55,0.6000000000000001,56329
0.6000000000000001,0.65,7716
0.65,0.7000000000000001,965
0.7000000000000001,0.75,280
0.75,0.8,141
0.8,0.8500000000000001,52
0.8500000000000001,0.9,18
0.9,0.9500000000000001,7
0.9500000000000001,1.0,0
