fold,pair,open_date,close_date,profit_ratio,profit_abs,exit_reason,regime,stake_amount
0,ETH/USDT,2021-03-31 03:05:00+00:00,2021-03-31 06:30:00+00:00,0.004726476633521441,0.15596676,exit_signal,sideways,32.96556
0,BNB/USDT,2021-03-31 02:40:00+00:00,2021-03-31 13:30:00+00:00,0.002196985356828682,0.07228666,exit_signal,sideways,32.8697892
0,BTC/USDT,2021-03-31 07:55:00+00:00,2021-03-31 13:40:00+00:00,0.007834019800529888,0.25516302,exit_signal,sideways,32.5386096
0,NEAR/USDT,2021-03-31 02:10:00+00:00,2021-03-31 14:35:00+00:00,0.015691510643271917,0.50965096,exit_signal,sideways,32.44696
0,SOL/USDT,2021-03-31 16:55:00+00:00,2021-03-31 18:35:00+00:00,0.02000049944435178,0.6669716,roi,sideways,33.3144328
0,ZEC/USDT,2021-04-01 07:05:00+00:00,2021-04-01 08:15:00+00:00,0.019997071792245424,0.67031739,roi,sideways,33.48729
0,ADA/USDT,2021-04-01 07:05:00+00:00,2021-04-01 08:35:00+00:00,0.018463964027330613,0.61838953,exit_signal,sideways,33.458241
0,TRX/USDT,2021-04-01 00:40:00+00:00,2021-04-01 08:50:00+00:00,0.020043481049494983,0.67305292,roi,sideways,33.546096
0,SOL/USDT,2021-04-01 09:30:00+00:00,2021-04-01 15:35:00+00:00,-0.006561755397699649,-0.22459014,exit_signal,sideways,34.19295
0,AVAX/USDT,2021-04-01 10:40:00+00:00,2021-04-01 15:50:00+00:00,0.019999189075431842,0.68434466,roi,sideways,34.184436
0,BNB/USDT,2021-04-01 18:15:00+00:00,2021-04-01 18:30:00+00:00,0.02000009914140125,0.68274903,roi,sideways,34.1031791
0,XRP/USDT,2021-04-01 10:30:00+00:00,2021-04-01 23:40:00+00:00,0.020004041371791598,0.68425347,roi,sideways,34.17159
0,UNI/USDT,2021-04-01 17:55:00+00:00,2021-04-02 03:00:00+00:00,0.02000009611092492,0.68557364,roi,sideways,34.244273
0,BNB/USDT,2021-04-02 12:10:00+00:00,2021-04-02 14:40:00+00:00,0.020000105296041525,0.70114078,roi,sideways,35.0218326
0,ZEC/USDT,2021-04-02 13:40:00+00:00,2021-04-02 14:50:00+00:00,0.019973351784347747,0.7000053,roi,sideways,35.01195
0,TRX/USDT,2021-04-02 13:35:00+00:00,2021-04-02 15:10:00+00:00,0.01997276576632909,0.70007245,roi,sideways,35.016336
0,SOL/USDT,2021-04-02 19:10:00+00:00,2021-04-02 22:55:00+00:00,0.01887485389353621,0.67478348,exit_signal,sideways,35.7146802
0,LINK/USDT,2021-04-03 03:45:00+00:00,2021-04-03 06:20:00+00:00,0.020000963354387433,0.71513411,roi,sideways,35.719264
0,TRX/USDT,2021-04-03 06:25:00+00:00,2021-04-03 07:30:00+00:00,0.02004417603509652,0.72577126,roi,sideways,36.172413
0,XRP/USDT,2021-04-03 08:45:00+00:00,2021-04-03 10:45:00+00:00,0.02000432164192422,0.72804989,roi,sideways,36.358272
0,BNB/USDT,2021-04-03 08:45:00+00:00,2021-04-03 11:55:00+00:00,0.019999913333557936,0.72515966,roi,sideways,36.2219182
0,SOL/USDT,2021-04-03 14:05:00+00:00,2021-04-03 19:05:00+00:00,0.019999313895060728,0.7382095,roi,sideways,36.8748664
0,BNB/USDT,2021-04-03 15:00:00+00:00,2021-04-04 02:20:00+00:00,-0.029808737989846904,-1.09343407,exit_signal,sideways,36.6450176
