pair,open_date,close_date,open_rate,close_rate,stake_amount,profit_abs,profit_ratio,exit_reason
AAVE/USDT,2022-01-02 00:00:00,2022-01-02 00:05:00,264.4,264.6,33.0,-0.04106278366111386,-0.0012443267776095109,exit_signal
NEAR/USDT,2022-01-02 00:00:00,2022-01-02 00:10:00,15.078,15.039,33.0,-0.15127079188221185,-0.004583963390370056,exit_signal
XRP/USDT,2022-01-02 00:15:00,2022-01-02 00:20:00,0.8417,0.8445,32.936529920070704,0.04358406442316212,0.0013232743257693056,exit_signal
LINK/USDT,2022-01-02 00:30:00,2022-01-02 00:35:00,21.03,21.01,32.95091266133034,-0.09720754263000095,-0.002950071326676156,exit_signal
AAVE/USDT,2022-01-02 00:45:00,2022-01-02 00:50:00,263.2,263.3,32.91883417226244,-0.05334301965983731,-0.0016204407294831958,exit_signal
NEAR/USDT,2022-01-02 00:15:00,2022-01-02 01:00:00,14.902,15.072,32.936529920070704,0.3094866822297556,0.009396456851429334,exit_signal
ADA/USDT,2022-01-02 01:10:00,2022-01-02 01:15:00,1.363,1.364,33.003361580910514,-0.041817172010439316,-0.0012670579603814298,exit_signal
AAVE/USDT,2022-01-02 01:20:00,2022-01-02 02:00:00,261.5,260.8,32.989561914147075,-0.15419939398723365,-0.004674187380497089,exit_signal
ADA/USDT,2022-01-02 01:45:00,2022-01-02 02:05:00,1.356,1.356,32.989561914147075,-0.06597912382829416,-0.002,exit_signal
AVAX/USDT,2022-01-02 01:45:00,2022-01-02 02:05:00,114.84,115.02,32.989561914147075,-0.014323054310689816,-0.00043416927899693,exit_signal
LINK/USDT,2022-01-02 02:00:00,2022-01-02 02:15:00,20.92,20.95,32.93867611413129,-0.01868939223110984,-0.0005673996175909374,exit_signal
AAVE/USDT,2022-01-02 02:25:00,2022-01-02 02:30:00,260.2,260.6,32.90600889590915,-0.015276886528150284,-0.0004642582628745807,exit_signal
