pair,open_date,close_date,open_rate,close_rate,stake_amount,profit_abs,profit_ratio,exit_reason
AVAX/USDT,2021-07-04 21:30:00,2021-07-04 21:35:00,12.475,12.549,31.662312256510912,0.12430408056712412,0.0039259318637274426,exit_signal
UNI/USDT,2021-07-04 21:30:00,2021-07-04 21:35:00,21.289,21.371,31.662312256510912,0.058508871443987504,0.001847902672741659,exit_signal
ZEC/USDT,2021-07-04 20:55:00,2021-07-04 21:55:00,122.72,122.6,31.540434097492305,-0.09389139003011762,-0.0029768578878748746,exit_signal
AVAX/USDT,2021-07-04 22:10:00,2021-07-04 22:15:00,12.774,12.76,31.69165637196464,-0.09808188061760055,-0.0030948802254579105,exit_signal
ZEC/USDT,2021-07-04 22:05:00,2021-07-04 22:15:00,122.22,122.37,31.69165637196464,-0.024527195027196497,-0.0007739322533136503,exit_signal
NEAR/USDT,2021-07-04 22:15:00,2021-07-04 22:20:00,2.2961,2.2952,31.65119537700186,-0.07569627157951928,-0.0023915770219067652,exit_signal
UNI/USDT,2021-07-04 22:00:00,2021-07-04 22:20:00,21.351,21.38,31.69165637196464,-0.020381159366935922,-0.000643108051145149,exit_signal
ADA/USDT,2021-07-04 22:30:00,2021-07-04 22:35:00,1.4672,1.469,31.61948982478953,-0.02448613981660655,-0.0007744002181024924,exit_signal
SOL/USDT,2021-07-04 22:35:00,2021-07-05 06:10:00,34.811,34.059,31.611409398650054,-0.7454212068906365,-0.023580764700813033,exit_signal
AAVE/USDT,2021-07-04 22:15:00,2021-07-05 06:40:00,286.94,275.05,31.65119537700186,-1.3735288503606082,-0.043395797030738086,exit_signal
ADA/USDT,2021-07-05 06:10:00,2021-07-05 06:50:00,1.4197,1.4232,31.36542040037614,0.014517304884897525,0.00046284426287247944,exit_signal
AVAX/USDT,2021-07-05 06:50:00,2021-07-05 06:55:00,12.286,12.28,30.91694659036916,-0.07691741734341778,-0.0024878723750610637,exit_signal
BNB/USDT,2021-07-05 06:40:00,2021-07-05 06:55:00,300.2,300.5,30.91215587975714,-0.030963641815598342,-0.0010016655562957652,exit_signal
LINK/USDT,2021-07-05 06:55:00,2021-07-05 09:00:00,18.748,18.833,30.881345840846677,0.07810766686724052,0.002529283123533033,exit_signal
NEAR/USDT,2021-07-05 06:55:00,2021-07-05 09:05:00,2.23,2.2527,30.881345840846677,0.2522756688728495,0.008169192825112082,exit_signal
AAVE/USDT,2021-07-05 09:00:00,2021-07-05 09:10:00,275.4,275.13,30.907121370912865,-0.09208504102568835,-0.0029794117647058164,exit_signal
ZEC/USDT,2021-07-04 22:20:00,2021-07-05 09:10:00,122.18,116.3,31.61948982478953,-1.5834278613781188,-0.05007759044033402,exit_signal
NEAR/USDT,2021-07-05 09:15:00,2021-07-05 09:25:00,2.2478,2.2442,30.437453083847657,-0.10957374782208523,-0.00359996440964481,exit_signal
AVAX/USDT,2021-07-05 09:10:00,2021-07-05 09:50:00,12.294,12.253,30.437453083847657,-0.16228109136871427,-0.005331625183016135,exit_signal
AAVE/USDT,2021-07-05 09:15:00,2021-07-05 09:55:00,275.0,274.99,30.437453083847657,-0.06198061582699481,-0.0020363272727272398,exit_signal
AAVE/USDT,2021-07-05 10:05:00,2021-07-05 10:10:00,278.68,278.55,30.327287383691786,-0.07478764787101466,-0.0024660183723266664,exit_signal
LINK/USDT,2021-07-05 10:10:00,2021-07-05 10:15:00,18.789,18.813,30.30260745989435,-0.021937094399359362,-0.0007239342168291364,exit_signal
UNI/USDT,2021-07-05 09:25:00,2021-07-05 10:15:00,20.418,20.403,30.401293747066372,-0.08311443913483246,-0.002733911254775226,exit_signal
AVAX/USDT,2021-07-05 10:30:00,2021-07-05 10:35:00,12.28,12.364,30.267940453828064,0.1463016183695001,0.004833550488599463,exit_signal
UNI/USDT,2021-07-05 10:30:00,2021-07-05 10:35:00,20.443,20.481,30.267940453828064,-0.004329279356600581,-0.0001430318446411852,exit_signal
AVAX/USDT,2021-07-05 11:10:00,2021-07-05 11:15:00,12.291,12.274,30.314791325702327,-0.10251682543754412,-0.003381742738589312,exit_signal
BTC/USDT,2021-07-05 11:10:00,2021-07-05 13:25:00,34257.96,33643.6,30.314791325702327,-0.6037317114313917,-0.019915417030085876,exit_signal
ADA/USDT,2021-07-05 13:25:00,2021-07-05 13:35:00,1.404,1.4037,30.081729308535575,-0.066584750834854,-0.0022134615384615153,exit_signal
AVAX/USDT,2021-07-05 13:35:00,2021-07-05 13:45:00,11.855,11.963,30.059756340760075,0.2134534296311959,0.007100970054829081,exit_signal
BNB/USDT,2021-07-05 13:45:00,2021-07-05 14:05:00,297.37,297.09,30.130195972538374,-0.08860225029473988,-0.0029406463328514295,exit_signal
NEAR/USDT,2021-07-05 11:15:00,2021-07-05 15:05:00,2.2443,2.1837,30.280960773307935,-0.8773828441681897,-0.028974735997861243,exit_signal
AAVE/USDT,2021-07-05 10:15:00,2021-07-05 15:20:00,280.65,274.8,30.267940453828064,-0.6908240840191411,-0.022823623730625214,exit_signal
AVAX/USDT,2021-07-05 14:05:00,2021-07-05 15:20:00,11.908,11.949,30.100957229941105,0.043333952787444695,0.0014396204232449083,exit_signal
ETH/USDT,2021-07-05 15:20:00,2021-07-05 16:30:00,2216.09,2219.28,29.597749148059147,-0.01663296565415521,-0.0005619672486225495,exit_signal
AAVE/USDT,2021-07-05 16:30:00,2021-07-05 17:10:00,274.5,275.66,29.592260269393275,0.06574332970013674,0.0022216393442623865,exit_signal
AVAX/USDT,2021-07-05 17:10:00,2021-07-05 18:00:00,11.908,12.14616,29.613955568194317,0.5324589211161354,0.01798000000000005,roi
LINK/USDT,2021-07-05 15:20:00,2021-07-05 18:05:00,18.241,18.431,29.597749148059147,0.24878919365021934,0.008405679513184655,exit_signal
DOGE/USDT,2021-07-05 15:05:00,2021-07-05 18:25:00,0.2338,0.23543,29.811420891365604,0.14800771183947917,0.004964798973481576,exit_signal
AAVE/USDT,2021-07-05 18:00:00,2021-07-05 18:50:00,278.71,283.68,29.789667012162642,0.4711034201122278,0.015814323131570548,exit_signal
