pair,open_date,close_date,open_rate,close_rate,stake_amount,profit_abs,profit_ratio,exit_reason
ADA/USDT,2020-07-05 00:00:00,2020-07-05 00:10:00,0.09972,0.09962,33.0,-0.09905956678700456,-0.0030018050541516534,exit_signal
ADA/USDT,2020-07-05 00:15:00,2020-07-05 00:25:00,0.09945,0.09904,32.96731034296029,-0.20171220382692506,-0.006118552036199031,exit_signal
LINK/USDT,2020-07-05 01:15:00,2020-07-05 01:20:00,4.8024,4.8012,32.9007453156974,-0.0740143453466317,-0.0022496251874062696,exit_signal
ADA/USDT,2020-07-05 00:30:00,2020-07-05 01:40:00,0.09827,0.09837,32.9007453156974,-0.032355022156394644,-0.0009834130456904152,exit_signal
BNB/USDT,2020-07-05 02:10:00,2020-07-05 02:20:00,15.4897,15.47,32.8656434244214,-0.10748843658612571,-0.0032705410692265503,exit_signal
LINK/USDT,2020-07-05 02:40:00,2020-07-05 02:45:00,4.7945,4.7895,32.830172240347984,-0.09986343350781761,-0.0030418187506517664,exit_signal
BNB/USDT,2020-07-05 02:40:00,2020-07-05 02:50:00,15.4479,15.4663,32.830172240347984,-0.026595416946651067,-0.0008100906919387264,exit_signal
XRP/USDT,2020-07-05 02:45:00,2020-07-05 02:50:00,0.1772,0.17772,32.7972173072904,0.030553976484691076,0.0009316027088035702,exit_signal
BNB/USDT,2020-07-05 02:55:00,2020-07-05 03:05:00,15.4533,15.4598,32.79852363193796,-0.051815058096257464,-0.0015797984896430497,exit_signal
LINK/USDT,2020-07-05 02:55:00,2020-07-05 03:10:00,4.7936,4.7984,32.79852363193796,-0.03278757619414113,-0.0009996662216287635,exit_signal
TRX/USDT,2020-07-05 03:05:00,2020-07-05 03:10:00,0.01668,0.01671,32.78142466276619,-0.006662411846931504,-0.00020323741007201578,exit_signal
LINK/USDT,2020-07-05 03:15:00,2020-07-05 03:20:00,4.794,4.7984,32.768406166712644,-0.03549158785565823,-0.0010831038798497284,exit_signal
ADA/USDT,2020-07-05 02:10:00,2020-07-05 03:30:00,0.09797,0.09804,32.8656434244214,-0.042272121342363175,-0.0012862100643053933,exit_signal
LINK/USDT,2020-07-05 03:25:00,2020-07-05 03:30:00,4.7912,4.8,32.756693942720275,-0.005409312123785877,-0.00016513608281851723,exit_signal
ADA/USDT,2020-07-05 03:45:00,2020-07-05 03:55:00,0.09814,0.09806,32.74095906967644,-0.09214441507076605,-0.002814346851436831,exit_signal
ADA/USDT,2020-07-05 04:00:00,2020-07-05 04:05:00,0.09785,0.09806,32.71055141270309,0.00471018568630141,0.00014399591211025007,exit_signal
XRP/USDT,2020-07-05 03:10:00,2020-07-05 04:25:00,0.17717,0.17666,32.768406166712644,-0.15976933058074627,-0.004875712592425256,exit_signal
XRP/USDT,2020-07-05 04:30:00,2020-07-05 04:40:00,0.17661,0.17654,32.65938189488793,-0.0782504809966672,-0.0023959571938168096,exit_signal
ADA/USDT,2020-07-05 04:10:00,2020-07-05 04:55:00,0.09774,0.09779,32.71210577397957,-0.048706698928657394,-0.0014889502762430082,exit_signal
LINK/USDT,2020-07-05 04:15:00,2020-07-05 04:55:00,4.7625,4.7849,32.71210577397957,0.08828044318543964,0.0026987086614173638,exit_signal
LINK/USDT,2020-07-05 05:00:00,2020-07-05 05:15:00,4.7759,4.7676,32.64661857176377,-0.12197280899626733,-0.0037361544420947248,exit_signal
LINK/USDT,2020-07-05 05:25:00,2020-07-05 05:30:00,4.7641,4.7682,32.606367544795,-0.03717964996821704,-0.001140257341365585,exit_signal
TRX/USDT,2020-07-05 05:40:00,2020-07-05 05:45:00,0.01666,0.01669,32.594098260305486,-0.006554035364469586,-0.00020108043217294266,exit_signal
XRP/USDT,2020-07-05 05:45:00,2020-07-05 06:00:00,0.17633,0.1764,32.59193542863521,-0.05225836728711826,-0.0016034140531956307,exit_signal
ZEC/USDT,2020-07-05 06:00:00,2020-07-05 06:35:00,50.88,50.94,32.574690167430454,-0.02677424415884628,-0.0008219339622642458,exit_signal
ZEC/USDT,2020-07-05 06:40:00,2020-07-05 06:45:00,50.87,50.87,32.56585466685804,-0.06513170933371608,-0.002,exit_signal
LINK/USDT,2020-07-05 05:40:00,2020-07-05 07:35:00,4.7612,4.7553,32.594098260305486,-0.10553787192934252,-0.0032379442157438407,exit_signal
ZEC/USDT,2020-07-05 06:50:00,2020-07-05 07:35:00,50.81,50.79,32.544361202777914,-0.07788613112099776,-0.0023932296791970703,exit_signal
LINK/USDT,2020-07-05 07:40:00,2020-07-05 07:50:00,4.7505,4.754,32.48383128177131,-0.04105866012659745,-0.0012639722134512505,exit_signal
ZEC/USDT,2020-07-05 07:40:00,2020-07-05 07:55:00,50.75,50.81,32.48383128177131,-0.026601537498922995,-0.0008189162561575908,exit_signal
ADA/USDT,2020-07-05 05:00:00,2020-07-05 08:30:00,0.09771,0.09739,32.64661857176377,-0.17210391184439203,-0.00527172244396685,exit_signal
